AnoMes,Qnt Dias,Consumo ,Estacao,Temp_Madrugada,Temp_Manhã,Temp_Noite,Temp_Tarde,Umi_Madrugada,Umi_Manhã,Umi_Noite,Umi_Tarde
2025-07,28,619,Inverno,16.83,15.24,22.33,23.37,62.71,70.37,41.65,39.72
2025-06,29,653,Outono,17.52,16.15,22.18,23.42,74.34,80.97,53.04,51.08
2025-05,31,720,Outono,18.08,17.18,22.32,23.38,82.04,85.09,62.86,59.49
2025-04,33,632,Outono,20.19,19.97,23.61,25.16,87.61,88.98,72.0,65.62
2025-03,28,695,Verao,20.83,20.15,24.87,26.12,80.26,84.23,62.12,57.64
2025-02,32,636,Verao,20.55,20.19,24.87,26.24,80.83,82.96,59.89,55.27
2025-01,32,617,Verao,19.81,19.99,23.15,24.89,90.83,90.34,74.55,68.17
2024-12,28,695,Primavera,19.97,20.41,23.07,25.54,88.91,85.69,73.52,62.56
2024-11,32,704,Primavera,19.78,19.97,22.53,24.53,91.37,88.77,77.35,68.23
2024-10,31,905,Primavera,21.18,21.2,24.65,26.79,75.65,75.31,62.0,54.01
2024-09,28,751,Inverno,22.44,20.93,28.08,29.4,37.34,44.16,23.11,22.94
2024-08,32,660,Inverno,18.74,16.79,24.81,25.69,51.52,61.43,32.07,34.45
2024-07,30,612,Inverno,17.0,15.92,22.82,24.23,61.47,67.0,39.42,37.51
